Timestamp,Station_ID,Temperature_C,Humidity_Pct,Wind_Speed_kmh,Visibility_km,Precipitation_mm,Pressure_hPa
2021-01-01 00:53:00,KDEN_Denver,-2.7777777777777777,66.0,9.65604,16.0934,0.0,833.0519400000001
2021-01-01 01:53:00,KDEN_Denver,-2.2222222222222223,63.0,4.82802,16.0934,0.0,833.390579
2021-01-01 02:00:00,KDEN_Denver,-2.2222222222222223,63.0,4.82802,15.9968396,,835.0837740000001
2021-01-01 02:53:00,KDEN_Denver,-3.888888888888889,69.0,9.65604,16.0934,0.0,833.390579
2021-01-01 03:53:00,KDEN_Denver,-4.444444444444445,71.0,11.26538,16.0934,0.0,833.0519400000001
2021-01-01 04:53:00,KDEN_Denver,-5.0,72.0,11.26538,16.0934,0.0,833.390579
2021-01-01 05:00:00,KDEN_Denver,-5.0,72.0,11.26538,15.9968396,,835.0837740000001
2021-01-01 05:53:00,KDEN_Denver,-5.0,72.0,12.87472,16.0934,0.0,834.067857
2021-01-01 06:53:00,KDEN_Denver,-4.444444444444445,71.0,11.26538,16.0934,0.0,834.745135
2021-01-01 07:53:00,KDEN_Denver,-3.888888888888889,72.0,12.87472,16.0934,0.0,835.0837740000001
2021-01-01 08:00:00,KDEN_Denver,-3.888888888888889,72.0,12.87472,15.9968396,,836.776969
2021-01-01 08:53:00,KDEN_Denver,-1.1111111111111112,66.0,9.65604,16.0934,0.0,836.776969
2021-01-01 09:53:00,KDEN_Denver,0.0,64.0,11.26538,16.0934,0.0,836.776969
2021-01-01 10:53:00,KDEN_Denver,1.6666666666666667,57.0,4.82802,16.0934,0.0,836.0996910000001
2021-01-01 11:00:00,KDEN_Denver,1.6666666666666667,57.0,4.82802,15.9968396,,837.792886
2021-01-01 11:53:00,KDEN_Denver,2.2222222222222223,52.0,4.82802,16.0934,0.0,834.745135
2021-01-01 12:53:00,KDEN_Denver,3.3333333333333335,48.0,0.0,16.0934,0.0,834.4064960000001
2021-01-01 13:53:00,KDEN_Denver,5.0,43.0,0.0,16.0934,0.0,834.067857
2021-01-01 14:00:00,KDEN_Denver,5.0,43.0,0.0,15.9968396,,835.7610520000001
2021-01-01 14:53:00,KDEN_Denver,3.888888888888889,46.0,8.0467,16.0934,0.0,834.067857
2021-01-01 15:53:00,KDEN_Denver,2.7777777777777777,57.0,8.0467,16.0934,0.0,834.067857
2021-01-01 16:53:00,KDEN_Denver,1.1111111111111112,64.0,11.26538,16.0934,0.0,834.4064960000001
2021-01-01 17:00:00,KDEN_Denver,1.1111111111111112,64.0,11.26538,15.9968396,,836.0996910000001
2021-01-01 17:53:00,KDEN_Denver,-1.6666666666666667,72.0,9.65604,16.0934,0.0,834.745135
2021-01-01 18:53:00,KDEN_Denver,-3.3333333333333335,75.0,9.65604,16.0934,0.0,834.745135
2021-01-01 19:53:00,KDEN_Denver,-3.888888888888889,75.0,17.70274,16.0934,0.0,834.745135
2021-01-01 20:00:00,KDEN_Denver,-3.888888888888889,75.0,17.70274,15.9968396,,836.43833
2021-01-01 20:53:00,KDEN_Denver,-3.888888888888889,75.0,16.0934,16.0934,0.0,834.4064960000001
2021-01-01 21:53:00,KDEN_Denver,-3.888888888888889,75.0,17.70274,16.0934,0.0,833.7292180000001
2021-01-01 22:53:00,KDEN_Denver,-3.3333333333333335,71.0,16.0934,16.0934,0.0,833.0519400000001
2021-01-01 23:00:00,KDEN_Denver,-3.3333333333333335,71.0,16.0934,15.9968396,,834.745135
2021-01-01 23:53:00,KDEN_Denver,-3.3333333333333335,69.0,16.0934,16.0934,0.0,832.713301
2021-01-01 23:59:00,KDEN_Denver,,,,,,
2021-01-02 00:53:00,KDEN_Denver,-3.888888888888889,72.0,17.70274,16.0934,0.0,831.6973839999999
2021-01-02 01:53:00,KDEN_Denver,-2.7777777777777777,66.0,17.70274,16.0934,0.0,831.6973839999999
2021-01-02 02:00:00,KDEN_Denver,-2.7777777777777777,66.0,17.70274,15.9968396,,833.390579
2021-01-02 02:53:00,KDEN_Denver,-3.3333333333333335,69.0,16.0934,16.0934,0.0,831.358745
2021-01-02 03:53:00,KDEN_Denver,-2.2222222222222223,60.0,24.1401,16.0934,0.0,830.6814670000001
2021-01-02 04:53:00,KDEN_Denver,-2.7777777777777777,63.0,16.0934,16.0934,0.0,830.342828
2021-01-02 05:00:00,KDEN_Denver,-2.7777777777777777,63.0,16.0934,15.9968396,,832.036023
2021-01-02 05:53:00,KDEN_Denver,-4.444444444444445,68.0,17.70274,16.0934,0.0,830.0041890000001
2021-01-02 06:53:00,KDEN_Denver,-5.0,68.0,17.70274,16.0934,0.0,829.66555
